City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
0,Yellowknife,CA,2020-05-08 18:37:14,62.46,-114.35,41.0,74,90,13.87,overcast clouds,0,0
1,Busselton,AU,2020-05-08 18:36:47,-33.65,115.33,46.99,66,1,6.04,clear sky,0,0
2,Los Llanos De Aridane,ES,2020-05-08 18:40:39,28.66,-17.92,71.6,68,75,5.82,broken clouds,0,0
3,Boguchany,RU,2020-05-08 18:44:37,58.38,97.45,39.0,77,100,1.3,overcast clouds,0,0
4,Kapaa,US,2020-05-08 18:36:11,22.08,-159.32,75.2,69,1,16.11,clear sky,0,0
5,Pevek,RU,2020-05-08 18:38:33,69.7,170.31,29.05,92,0,8.57,clear sky,0,0
6,Comodoro Rivadavia,AR,2020-05-08 18:43:44,-45.87,-67.5,60.8,87,100,3.36,light rain,0,0
7,Kathmandu,NP,2020-05-08 18:44:38,27.72,85.32,62.6,88,20,2.24,few clouds,0,0
8,Ushuaia,AR,2020-05-08 18:34:23,-54.8,-68.3,42.8,100,83,4.7,fog,0,0
9,Dikson,RU,2020-05-08 18:36:35,73.51,80.55,28.8,97,100,24.81,overcast clouds,0,0
10,Brae,GB,2020-05-08 18:38:19,60.4,-1.35,50.0,76,99,14.99,overcast clouds,0,0
11,Hermanus,ZA,2020-05-08 18:36:48,-34.42,19.23,64.99,73,0,1.99,clear sky,0,0
12,Camacha,PT,2020-05-08 18:42:44,33.08,-16.33,68.0,68,20,10.29,few clouds,0,0
13,Mataura,NZ,2020-05-08 18:36:26,-46.19,168.86,46.69,84,90,3.96,overcast clouds,0,0
14,Saint-Philippe,RE,2020-05-08 18:36:34,-21.36,55.77,73.4,69,20,8.05,few clouds,0,0
15,Mar Del Plata,AR,2020-05-08 18:35:01,-38.0,-57.56,62.6,59,100,20.8,overcast clouds,0,0
16,East London,ZA,2020-05-08 18:36:43,-33.02,27.91,69.71,80,69,6.82,broken clouds,0,0
17,Gao,ML,2020-05-08 18:40:59,16.64,1.64,93.54,11,0,7.9,clear sky,0,0
18,Vostok,RU,2020-05-08 18:37:45,46.49,135.88,40.23,95,3,4.81,clear sky,0,0
19,Waipawa,NZ,2020-05-08 18:44:43,-41.41,175.52,53.6,87,25,2.24,scattered clouds,0,0
20,Enshi,CN,2020-05-08 18:44:43,30.3,109.48,67.5,84,100,1.36,light rain,0,0
21,Albany,US,2020-05-08 18:35:12,42.6,-73.97,59.0,17,100,2.46,overcast clouds,0,0
22,Toora-Khem,RU,2020-05-08 18:38:31,52.47,96.11,31.08,94,0,2.86,clear sky,0,0
23,Vaini,TO,2020-05-08 18:36:27,-21.2,-175.2,78.8,94,75,10.29,broken clouds,0,0
24,New Norfolk,AU,2020-05-08 18:37:15,-42.78,147.06,48.99,80,100,1.23,light rain,0,0
25,Hefei,CN,2020-05-08 18:44:46,31.86,117.28,64.0,93,90,11.18,overcast clouds,0,0
26,Impfondo,CG,2020-05-08 18:44:46,1.64,18.07,73.65,89,100,2.1,overcast clouds,0,0
27,Punta Arenas,CL,2020-05-08 18:36:20,-53.15,-70.92,53.6,66,98,9.17,overcast clouds,0,0
28,Tual,ID,2020-05-08 18:44:46,-5.67,132.75,82.89,78,0,19.01,clear sky,0,0
29,Saint-Augustin,CA,2020-05-08 18:44:47,51.23,-58.65,35.02,98,100,3.0,overcast clouds,0,0
30,Kailua,US,2020-05-08 18:44:47,21.4,-157.74,78.8,54,20,13.87,few clouds,0,0
