City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Kapaa,US,75.2,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
23,Vaini,TO,78.8,broken clouds,-21.2,-175.2,Keleti Beach Resort
28,Tual,ID,82.89,clear sky,-5.67,132.75,Grand Vilia Hotel
30,Kailua,US,78.8,few clouds,21.4,-157.74,Sheffield House Bed & Breakfast
32,Butaritari,KI,82.42,overcast clouds,3.07,172.79,Isles Sunset Lodge
35,Atuona,PF,81.28,broken clouds,-9.8,-139.03,Villa Enata
36,Half Moon Bay,US,80.01,haze,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
40,Avarua,CK,78.8,few clouds,-21.21,-159.78,Paradise Inn
45,Kavieng,PG,82.62,clear sky,-2.57,150.8,Nusa Island Retreat
48,Puerto Narino,CO,77.0,overcast clouds,-3.77,-70.38,Eware Refugio Amazonico
49,Touros,BR,84.2,broken clouds,-5.2,-35.46,INN NEW HORIZON
50,Puerto Ayora,EC,84.2,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
53,Salalah,OM,84.2,few clouds,17.02,54.09,HAMDAN PLAZA HOTEL
58,Kloulklubed,PW,80.6,broken clouds,7.04,134.26,Storyboard Beach Resort
59,Rikitea,PF,75.76,scattered clouds,-23.12,-134.97,Pension Maro'i
65,Vaitape,PF,82.94,overcast clouds,-16.52,-151.75,Hotel Maitai Polynesia
71,Port-Gentil,GA,78.8,thunderstorm with light rain,-0.72,8.78,Fengshui Residence
82,Hilo,US,75.2,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
85,Pacific Grove,US,84.99,clear sky,36.62,-121.92,Lovers Point Inn
88,Jacareacanga,BR,89.6,scattered clouds,-6.22,-57.75,Casa do Ian😎
90,Hithadhoo,MV,85.24,overcast clouds,-0.6,73.08,Scoop Guest House
92,Port Blair,IN,84.02,overcast clouds,11.67,92.75,Hotel Sentinel
94,Thinadhoo,MV,85.24,few clouds,0.53,72.93,
95,Namatanai,PG,79.61,clear sky,-3.67,152.43,Namatanai Hotel
97,Sakakah,SA,89.6,broken clouds,29.97,40.21,Fakhamat Al Orjoana Apartment
98,Bonthe,SL,82.69,scattered clouds,7.53,-12.51,Bonthe Holiday Village
109,Fonte Boa,BR,78.82,light rain,-2.5,-66.27,
115,Bull Savanna,JM,84.16,light rain,17.89,-77.59,Big Red's
118,Cabo San Lucas,MX,87.8,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
122,Makakilo City,US,75.2,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
123,Victoria,HK,82.0,scattered clouds,22.29,114.16,Mini Hotel Central
126,Padang,ID,79.45,overcast clouds,-0.95,100.35,Mercure Padang
131,Siparia,TT,90.0,overcast clouds,10.13,-61.5,Brook Gardens
139,Piacabucu,BR,81.45,overcast clouds,-10.41,-36.43,Piaçabuçu News
140,Lorengau,PG,81.5,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
151,Lompoc,US,82.99,few clouds,34.64,-120.46,Holiday Inn Express Lompoc
152,Denpasar,ID,77.0,light rain,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
154,Santa Rita,BR,86.0,broken clouds,-7.11,-34.98,Infinity Motel
157,Kalamnuri,IN,86.36,clear sky,19.67,77.33,खंडोबा राव शेषराव गडदे
158,Rawson,AR,77.67,overcast clouds,-43.3,-65.1,Hotel Punta León
164,Kudahuvadhoo,MV,85.51,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
169,Namibe,AO,82.81,clear sky,-15.2,12.15,Chik-Chik Namibe
172,Auki,SB,78.67,light rain,-8.77,160.7,Auki Motel
173,Marawi,PH,80.01,scattered clouds,8.0,124.29,Derogongan Residence
177,Nabire,ID,78.28,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
181,Lagos,NG,86.0,scattered clouds,6.58,3.75,
183,Najran,SA,86.0,few clouds,17.49,44.13,محمد هادي ال فطيح
191,Maraa,BR,75.51,moderate rain,-1.83,-65.37,
194,Mana,GF,81.68,broken clouds,5.66,-53.78,LE SAMANA
199,Sao Joao Da Barra,BR,77.0,few clouds,-21.64,-41.05,Pousada Porto De Canoas
201,Seminole,US,84.99,clear sky,28.71,-81.21,Lago
203,Georgetown,MY,78.8,light rain,5.41,100.34,Cititel Penang
205,Tarrafal,CV,77.0,scattered clouds,15.28,-23.77,Hotel Ixola
207,Sao Gabriel Da Cachoeira,BR,78.8,broken clouds,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
208,Ewa Beach,US,75.2,few clouds,21.32,-158.01,Parkside By Gentry
212,Guerrero Negro,MX,80.91,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
215,Matoury,GF,86.0,broken clouds,4.85,-52.33,Hôtel La Marmotte
218,Samarai,PG,79.39,light rain,-10.62,150.67,Nuli Sapi
