City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albanel,CA,2020-05-06 18:57:03,48.88,-72.45,48.2,24,20,11.41
1,Chokurdakh,RU,2020-05-06 18:56:12,70.63,147.92,18.32,97,97,4.63
2,Kununurra,AU,2020-05-06 18:57:49,-15.77,128.73,59.0,87,28,3.36
3,Albany,US,2020-05-06 18:56:20,42.6,-73.97,57.99,35,100,3.94
4,Zamora,EC,2020-05-06 18:57:49,-4.07,-78.96,86.0,45,75,8.05
5,Grand Gaube,MU,2020-05-06 18:57:49,-20.01,57.66,75.0,82,0,5.99
6,Okmulgee,US,2020-05-06 18:57:50,35.62,-95.96,69.8,40,1,9.17
7,Tautira,PF,2020-05-06 18:57:05,-17.73,-149.15,78.8,78,41,2.24
8,East London,ZA,2020-05-06 18:56:52,-33.02,27.91,68.59,74,93,3.51
9,Provideniya,RU,2020-05-06 18:56:53,64.38,-173.3,31.26,90,0,4.52
10,Bluff,NZ,2020-05-06 18:55:59,-46.6,168.33,53.55,83,96,25.05
11,Mount Isa,AU,2020-05-06 18:57:51,-20.73,139.5,53.6,58,0,1.12
12,Vilhena,BR,2020-05-06 18:57:51,-12.74,-60.15,82.4,78,75,12.75
13,Cape Town,ZA,2020-05-06 18:52:09,-33.93,18.42,64.99,88,100,11.41
14,Rikitea,PF,2020-05-06 18:56:02,-23.12,-134.97,74.34,63,95,12.59
15,Kodiak,US,2020-05-06 18:54:07,57.79,-152.41,44.6,87,90,12.75
16,Victoria,HK,2020-05-06 18:53:14,22.29,114.16,81.0,85,44,1.01
17,Iskateley,RU,2020-05-06 18:57:52,67.68,53.15,31.32,98,100,11.03
18,Mackay,AU,2020-05-06 18:55:58,-21.15,149.2,66.2,93,75,9.17
19,Ust-Tsilma,RU,2020-05-06 18:57:52,65.44,52.15,44.47,95,100,9.69
20,Upernavik,GL,2020-05-06 18:56:20,72.79,-56.15,22.01,93,96,6.38
21,Port Elizabeth,ZA,2020-05-06 18:56:37,-33.92,25.57,60.8,100,77,2.24
22,Ushuaia,AR,2020-05-06 18:52:09,-54.8,-68.3,39.2,80,100,2.24
23,Mataura,NZ,2020-05-06 18:56:18,-46.19,168.86,52.25,72,100,6.71
24,Hilo,US,2020-05-06 18:56:57,19.73,-155.09,78.8,57,75,3.15
25,Kapaa,US,2020-05-06 18:56:02,22.08,-159.32,73.4,88,90,18.34
26,Dalbandin,PK,2020-05-06 18:57:55,28.89,64.41,83.86,14,26,5.53
27,Busselton,AU,2020-05-06 18:55:55,-33.65,115.33,51.01,69,63,7.9
28,Arraial Do Cabo,BR,2020-05-06 18:56:18,-22.97,-42.03,84.2,69,16,4.7
29,Hovd,MN,2020-05-06 18:57:59,48.01,91.64,38.93,61,99,1.54
30,Puerto Ayora,EC,2020-05-06 18:51:43,-0.74,-90.35,82.4,74,20,12.75
31,Tiksi,RU,2020-05-06 18:56:22,71.69,128.87,19.24,97,100,6.08
32,Forbes,AU,2020-05-06 18:58:01,-33.38,148.02,57.99,74,100,1.99
33,Luderitz,NA,2020-05-06 18:57:27,-26.65,15.16,76.68,26,0,9.6
34,Cabedelo,BR,2020-05-06 18:56:26,-6.98,-34.83,78.8,94,40,4.7
35,Esperance,AU,2020-05-06 18:55:55,-33.87,121.9,50.0,66,90,24.16
36,Punta Arenas,CL,2020-05-06 18:56:07,-53.15,-70.92,42.8,93,90,4.7
37,Hailar,CN,2020-05-06 18:58:05,49.2,119.7,65.91,31,100,27.78
38,Smithers,CA,2020-05-06 18:58:05,54.78,-127.17,50.0,57,90,4.7
39,Kailua,US,2020-05-06 18:57:35,21.4,-157.74,82.4,54,40,10.29
40,Torbay,CA,2020-05-06 18:55:57,47.67,-52.73,44.01,70,75,16.11
41,Ancud,CL,2020-05-06 18:53:20,-41.87,-73.82,59.0,77,75,2.24
42,Thompson,CA,2020-05-06 18:51:46,55.74,-97.86,30.2,39,5,8.05
43,Anadyr,RU,2020-05-06 18:58:06,64.75,177.48,28.4,58,2,29.08
44,Hermanus,ZA,2020-05-06 18:56:02,-34.42,19.23,64.99,82,94,1.01
45,Kahului,US,2020-05-06 18:57:24,20.89,-156.47,77.0,61,20,4.7
46,New Norfolk,AU,2020-05-06 18:55:59,-42.78,147.06,50.0,68,100,2.82
47,Sao Filipe,CV,2020-05-06 18:56:58,14.9,-24.5,76.62,67,32,13.8
48,Puerto Princesa,PH,2020-05-06 18:58:10,9.74,118.74,82.4,83,20,2.24
49,Kruisfontein,ZA,2020-05-06 18:57:04,-34.0,24.73,58.68,97,48,4.97
50,Khani,GE,2020-05-06 18:56:05,41.96,42.96,55.4,100,90,9.17
51,Taltal,CL,2020-05-06 18:58:11,-25.4,-70.48,70.3,52,22,6.02
52,Hambantota,LK,2020-05-06 18:58:11,6.12,81.12,78.8,100,100,5.82
53,Atuona,PF,2020-05-06 18:56:29,-9.8,-139.03,80.76,74,29,17.38
54,Bredasdorp,ZA,2020-05-06 18:56:24,-34.53,20.04,60.8,87,97,4.7
55,Beringovskiy,RU,2020-05-06 18:57:10,63.05,179.32,29.98,97,9,7.94
56,Mattru,SL,2020-05-06 18:58:13,7.62,-11.83,80.15,91,100,3.89
57,Neiafu,TO,2020-05-06 18:58:13,-18.65,-173.98,80.6,88,40,5.82
58,Oistins,BB,2020-05-06 18:58:14,13.07,-59.53,86.0,66,20,20.8
59,Yerbogachen,RU,2020-05-06 18:58:14,61.28,108.01,27.3,97,100,11.07
60,Pevek,RU,2020-05-06 18:56:51,69.7,170.31,27.09,88,100,14.45
61,Qaanaaq,GL,2020-05-06 18:56:34,77.48,-69.36,16.2,90,100,1.66
62,Hobart,AU,2020-05-06 18:56:17,-42.88,147.33,51.8,81,100,5.82
63,Pulaski,US,2020-05-06 18:58:15,34.77,-92.3,73.99,31,20,11.41
64,Sungaipenuh,ID,2020-05-06 18:58:15,-2.08,101.38,66.85,94,100,1.05
65,Saint-Philippe,RE,2020-05-06 18:56:06,-21.36,55.77,75.2,83,75,3.36
66,Leningradskiy,RU,2020-05-06 18:57:07,69.38,178.42,22.39,87,100,5.03
67,Guerrero Negro,MX,2020-05-06 18:57:01,27.98,-114.06,81.5,37,0,10.4
68,Lazaro Cardenas,MX,2020-05-06 18:57:46,17.96,-102.2,87.19,38,0,10.47
69,Hithadhoo,MV,2020-05-06 18:56:43,-0.6,73.08,84.4,75,0,9.1
70,Kaitangata,NZ,2020-05-06 18:56:25,-46.28,169.85,57.0,49,95,8.99
71,Lagoa,PT,2020-05-06 18:57:32,39.05,-27.98,64.58,84,0,6.6
72,Ketchikan,US,2020-05-06 18:58:17,55.34,-131.65,48.2,87,90,19.46
73,Buraydah,SA,2020-05-06 18:55:23,26.33,43.98,84.2,32,80,13.87
74,Angoche,MZ,2020-05-06 18:58:17,-16.23,39.91,74.53,84,100,11.68
75,Ribeira Grande,PT,2020-05-06 18:56:50,38.52,-28.7,66.2,88,20,8.05
76,Amanganj,IN,2020-05-06 18:58:18,24.43,80.03,84.47,28,11,5.55
77,Medak,IN,2020-05-06 18:58:18,18.03,78.27,86.31,49,6,16.13
78,Jamestown,US,2020-05-06 18:55:53,42.1,-79.24,46.4,45,20,13.87
79,Andros Town,BS,2020-05-06 18:58:19,24.7,-77.77,84.34,60,100,12.28
80,Vao,NC,2020-05-06 18:57:06,-22.67,167.48,71.64,74,100,24.74
81,Bambous Virieux,MU,2020-05-06 18:56:09,-20.34,57.76,75.0,88,20,3.36
82,Egvekinot,RU,2020-05-06 18:58:20,66.32,-179.17,20.48,92,0,1.12
83,Macon,US,2020-05-06 18:58:20,39.87,-88.97,61.0,51,20,12.75
84,Ust-Kuyga,RU,2020-05-06 18:58:21,70.02,135.6,22.64,96,84,0.18
85,Bowen,AU,2020-05-06 18:58:21,-20.02,148.23,70.0,88,40,10.29
86,Saint George,US,2020-05-06 18:57:02,37.1,-113.58,86.0,16,1,1.61
87,Asau,RO,2020-05-06 18:58:21,46.43,26.4,46.0,60,84,19.98
88,Mancio Lima,BR,2020-05-06 18:58:21,-7.61,-72.9,83.23,87,100,0.94
89,Alyangula,AU,2020-05-06 18:56:49,-13.85,136.42,66.2,100,19,10.45
90,Cidreira,BR,2020-05-06 18:57:09,-30.18,-50.21,61.12,67,100,15.55
91,Quime,BO,2020-05-06 18:58:22,-16.98,-67.22,59.23,64,75,6.46
92,Tiverton,GB,2020-05-06 18:58:22,50.9,-3.48,57.2,50,0,6.93
93,Bengkulu,ID,2020-05-06 18:56:32,-3.8,102.27,78.26,90,100,4.27
94,Samarai,PG,2020-05-06 18:56:36,-10.62,150.67,79.88,77,100,20.36
95,Nioaque,BR,2020-05-06 18:58:23,-21.14,-55.83,65.82,89,100,10.2
